year,suburb,res_type,seat_indoor,seat_outdoor,all_seat
2013,Kensington,Takeaway Food Services,85.0,18.0,103.0
2013,Melbourne (CBD),Cafes and Restaurants,59777.0,13012.0,72789.0
2013,Melbourne (CBD),"Pubs, Taverns and Bars",9459.0,1182.0,10641.0
2013,Melbourne (CBD),Takeaway Food Services,2221.0,831.0,3052.0
2013,Melbourne (Remainder),Cafes and Restaurants,1971.0,1795.0,3766.0
2013,Melbourne (Remainder),Takeaway Food Services,24.0,32.0,56.0
2013,North Melbourne,Cafes and Restaurants,2303.0,500.0,2803.0
2013,North Melbourne,"Pubs, Taverns and Bars",985.0,163.0,1148.0
2013,North Melbourne,Takeaway Food Services,259.0,99.0,358.0
2013,Parkville,Cafes and Restaurants,1122.0,819.0,1941.0
2013,Parkville,"Pubs, Taverns and Bars",180.0,100.0,280.0
2013,Parkville,Takeaway Food Services,46.0,45.0,91.0
2013,Port Melbourne,Cafes and Restaurants,599.0,339.0,938.0
2013,Port Melbourne,Takeaway Food Services,23.0,20.0,43.0
2013,South Yarra,Cafes and Restaurants,531.0,114.0,645.0
2013,Southbank,Cafes and Restaurants,13410.0,3852.0,17262.0
2013,Southbank,"Pubs, Taverns and Bars",383.0,60.0,443.0
2013,Southbank,Takeaway Food Services,124.0,31.0,155.0
2013,West Melbourne,Cafes and Restaurants,1439.0,333.0,1772.0
2013,West Melbourne,"Pubs, Taverns and Bars",1094.0,100.0,1194.0
2013,West Melbourne,Takeaway Food Services,100.0,47.0,147.0
2014,Carlton,Cafes and Restaurants,10197.0,3496.0,13693.0
2014,Carlton,"Pubs, Taverns and Bars",826.0,294.0,1120.0
2014,Carlton,Takeaway Food Services,256.0,203.0,459.0
2014,Docklands,Cafes and Restaurants,14208.0,3617.0,17825.0
2014,Docklands,"Pubs, Taverns and Bars",1132.0,555.0,1687.0
2014,Docklands,Takeaway Food Services,250.0,106.0,356.0
2014,East Melbourne,Cafes and Restaurants,5479.0,828.0,6307.0
2014,East Melbourne,"Pubs, Taverns and Bars",100.0,0.0,100.0
2014,East Melbourne,Takeaway Food Services,58.0,27.0,85.0
2014,Kensington,Cafes and Restaurants,741.0,275.0,1016.0
2014,Kensington,"Pubs, Taverns and Bars",375.0,143.0,518.0
2014,Kensington,Takeaway Food Services,85.0,18.0,103.0
2014,Melbourne (CBD),Cafes and Restaurants,63244.0,13161.0,76405.0
2014,Melbourne (CBD),"Pubs, Taverns and Bars",9224.0,1406.0,10630.0
2014,Melbourne (CBD),Takeaway Food Services,2571.0,851.0,3422.0
2014,Melbourne (Remainder),Cafes and Restaurants,1971.0,1795.0,3766.0
2014,Melbourne (Remainder),Takeaway Food Services,24.0,32.0,56.0
2014,North Melbourne,Cafes and Restaurants,2597.0,641.0,3238.0
2014,North Melbourne,"Pubs, Taverns and Bars",955.0,145.0,1100.0
2014,North Melbourne,Takeaway Food Services,237.0,92.0,329.0
2014,Parkville,Cafes and Restaurants,1530.0,1014.0,2544.0
2014,Parkville,"Pubs, Taverns and Bars",340.0,136.0,476.0
2014,Parkville,Takeaway Food Services,117.0,66.0,183.0
2014,Port Melbourne,Cafes and Restaurants,599.0,339.0,938.0
2014,Port Melbourne,Takeaway Food Services,23.0,20.0,43.0
2014,South Yarra,Cafes and Restaurants,531.0,114.0,645.0
2014,Southbank,Cafes and Restaurants,13410.0,3852.0,17262.0
2014,Southbank,"Pubs, Taverns and Bars",383.0,60.0,443.0
2014,Southbank,Takeaway Food Services,124.0,31.0,155.0
2014,West Melbourne,Cafes and Restaurants,1394.0,320.0,1714.0
2014,West Melbourne,"Pubs, Taverns and Bars",1021.0,140.0,1161.0
2014,West Melbourne,Takeaway Food Services,163.0,42.0,205.0
2015,Carlton,Cafes and Restaurants,10197.0,3496.0,13693.0
2015,Carlton,"Pubs, Taverns and Bars",826.0,294.0,1120.0
2015,Carlton,Takeaway Food Services,256.0,203.0,459.0
2015,Docklands,Cafes and Restaurants,14208.0,3617.0,17825.0
2015,Docklands,"Pubs, Taverns and Bars",1132.0,555.0,1687.0
2015,Docklands,Takeaway Food Services,250.0,106.0,356.0
2015,East Melbourne,Cafes and Restaurants,5479.0,828.0,6307.0
